country,city,name,description,rating,reviews,km_to_centre,min_private_price,min_dorm_price
Colombia,Medellin,Secret Buddha,Home away from home. That Simple. If you wish to be close to Medellin but enjoy nature this is for yo,9.6,160,14.65,15.64,14.63
Colombia,Medellin,Baku laureles Hostel,A perfect place for travellers who want to immerse themselves in the local life of Medellín and experience the authentic culture of the city.,10.0,6,1.85,,11.25
Colombia,Medellin,Hostel Metro Floresta,"Our hostel is always full of lovely vibes. Here, you can meet and make friends from all over the world and have your own privacy at the same time.",9.6,28,2.44,10.35,10.35
Colombia,Medellin,Yellow House Hostel,"We are Yellow House Hostel, a very quiet, nice place to rest. We are very well located.",9.5,5,2.43,7.88,7.88
Colombia,Medellin,Viajero Medellin Hostel,360 Â° view of Medelli­n in the coolest neighborhood in the city! Come and see our hostel located in ',9.4,901,4.79,21.8,18.0
Colombia,Medellin,Masaya Medellin,"Masaya Hostel is a modern way of shared housing for like-minded people to stay, work, enjoy and connect t",9.4,419,5.2,12.22,19.41
Colombia,Medellin,Los Patios Hostel,"Los Patios, the Best Large Hostel Worldwide 2020, is an authentic experience, run by Colombians, where you will live the best of our culture and people. With a setup designed to meet all your needs and desires, it will be difficult not to feel on spot. In...",9.3,3030,4.78,29.82,22.23
Colombia,Medellin,International House Co-living,This 18-bedroom co-living apartments/hostel is probably the best equipped of its kind in Colombia. The i,9.3,332,2.48,7.09,
Colombia,Medellin,Spring Hostel,"People will stay with us because we offer several services with a very affordable rate, where they can enjoy a continental breakfast, bathrooms with hot showers, bed linen and towels at no additional",9.3,37,3.01,15.39,11.11
Colombia,Medellin,Cabaña Musical,Immerse yourself in the forest and enjoy the nature with our amazing treks.,9.3,15,11.45,15.0,13.5
Colombia,Medellin,Charlie Palace Hostel,At Charlie Palace Hostel you will find a warm atmosphere and a team that is passionate about serving. Featuring a garden and terrace.,9.3,112,4.71,15.95,15.36
Colombia,Medellin,Black Sheep Hostel Medellin,A travellers favourite in Medellin for over fifteen years. The Black Sheep is a New Zealand/ Colombian ru,9.1,3170,5.39,19.69,15.75
Colombia,Medellin,Centro Hostel Medellin Sede Cordova,Provides shared and private rooms !! We have an architecture that preserves a spirit of colonial times.,9.1,11,1.97,12.07,10.07
Colombia,Medellin,Hostel Rango Boutique,Hostel Rango Boutique is a new boutique hostel on Calle 8 in MedellÃƒÂ­n. take advantage of our powe,9.1,1196,5.31,29.93,20.25
Colombia,Medellin,Oasis Hostel,Oasis Hostel is a unique hostel in the heart of Laureles with everything steps away. We are your home awa,9.1,238,2.21,,
Colombia,Medellin,Centro Hostel,"Medellín is the capital of the mountainous province of Antioquia (Colombia). Nicknamed the ""city of eternal spring"" for its mild climate.",9.1,195,2.13,13.89,11.46
Colombia,Medellin,Medellín Vibes Hostel,We are looking forward to hosting you at Medellín Vibes Hostel.,9.1,280,5.15,54.67,26.32
Colombia,Medellin,Living Hostal,Living Hostal will bring you the best possible experience in Medellin.,9.0,56,6.73,13.5,
Colombia,Medellin,Noah Boutique Hostel Medellín,Noah Boutique hostels is the new idea of hospitality in Medellin.,9.0,359,4.66,7.88,9.68
Colombia,Medellin,Purple Monkey Hostel,WHY ARE YOU READING THIS? // Don’t you realise you’re wasting valuable drinking time?,8.9,1631,4.69,21.38,14.63
Colombia,Medellin,Arcadia Hostel,"Arcadia Hostel is located in Medellin, Colombia",8.9,1247,5.13,14.51,8.78
Colombia,Medellin,Medellin BackPacker Hostel,"Medellin BackPacker Hostel offers our visitors an authentic Medellin experience, full of comfort and relaxation in a prime location. You will be able to enjoy one of the cityâ€™s most lively and vibrant parts of town, with nearby attractions within walking...",8.8,277,1.94,6.37,5.69
Colombia,Medellin,Yolo Hostel Medellin,"Yolo Hostel Medellin is the perfect place to meet other travelers and explore this beautiful city. We have a fully equipped kitchen, a spacious garden, hammocks and a lounge area where you can relax and enjoy",8.8,108,5.6,15.33,9.19
Colombia,Medellin,JO&JOE Medellin,"Friendly, comfortable and colourful: this is where you need to be to experience Medellin at its best.",8.7,136,5.34,25.31,14.63
Colombia,Medellin,Serrania Hostal,"Featuring a shared lounge and a garden, Serrania Hostal is located in Medellín, 6.1 km from El Poblado Park and 6.9 km from Lleras Park.",8.7,5,2.03,6.19,9.0
Colombia,Medellin,Casa Kiwi Hostel Medellin,"Casa Kiwi is the place to be in Medellin. It's three blocks from all of the action of the Zona Rosa,",8.7,1067,5.61,16.31,15.75
Colombia,Medellin,The Sugar Cane Hostel,"Welcome to 'Sugar Cane Hostel', located in El Poblado Medellin just a few minutes away from the metro st",8.6,1385,4.69,24.19,16.88
Colombia,Medellin,Alojamiento Selvatica Eco,"Tu Casa Natura offers free Wi-Fi access, cable TV",8.6,38,0.87,9.68,
Colombia,Medellin,La Familia Hostel,La Familia Hostal in Medellín provides adults-only accommodation with a shared lounge.Also it is super fun just sitting there and watch the insane amount of people passing by on calle 10.,8.4,98,5.11,13.84,9.69
Colombia,Medellin,The Wandering Paisa Backpackers Hostel,"Recommended in the latest Lonely Planet guidebook and winner of the Hostelworld award for *The Best Hostel In Colombia*, we invite you join us for a social and cultural backpackers experience! Centrally located and close to the Metro.",8.3,1162,1.28,20.25,8.55
Colombia,Medellin,Absolute Medellín Hotel & Hostel,"Absolute Medellín Hotel & Hostel is the accommodation that has absolutely everything that travellers want when traveling in another city, spacious common areas, comfortable to share and play with other guests, integration activities.",8.2,6,1.25,7.13,6.3
Colombia,Medellin,Gaston Coliving,Gaston Coliving offers comfortable rooms and excellent service in Medellin.,8.1,220,2.56,10.13,6.95
Colombia,Medellin,Florentina Hostal,Florentina Hostal welcomes our guests to enjoy the amazin city of Medellin!,8.0,214,4.78,12.38,12.38
